'Precision Foam Dr. Jones', 'Precision Foam Dr. Jones - Espuma de Barbear - Época Cosméticos', 'http://www.epocacosmeticos.com.br/precision-foam-dr-jones-espuma-de-barbear/p'
'Osis Flexwax Schwarzkopf Professional', 'Osis Flexwax Schwarzkopf Professional - Cera Modeladora - Época Cosméticos', 'http://www.epocacosmeticos.com.br/osis-flexwax-schwarzkopf-professional-cera-modeladora/p'
'Blemish+ Age Defense SkinCeuticals', 'Blemish+ Age Defense SkinCeuticals - Tratamento Antiacne e Antioliosidade - Época Cosméticos', 'http://www.epocacosmeticos.com.br/blemish-age-defense-skinceuticals-tratamento-antiacne/p'
'Red Carpet Ready Hot Makeup', 'Red Carpet Ready Hot Makeup - Corretivo - Época Cosméticos', 'http://www.epocacosmeticos.com.br/red-carpet-ready-hot-makeup-corretivo/p'
'The Original Thick & Curly Tangle Teezer', 'The Original Thick & Curly Tangle Teezer - Escova para os Cabelos - Época Cosméticos', 'http://www.epocacosmeticos.com.br/the-original-thick-e-curly-tangle-teezer-escova-para-os-cabelos/p'
'Atoderm Intenssive Gel Moussant Bioderma', 'Atoderm Intenssive Gel Moussant Bioderma - Higienizador - Época Cosméticos', 'http://www.epocacosmeticos.com.br/atoderm-intenssive-gel-moussant-bioderma-higienizador/p'
'SH', 'SH-RD Protein Cream Nppe - Tratamento Disciplinador - Época Cosméticos', 'http://www.epocacosmeticos.com.br/rd-protein-cream-nppe-tratamento-disciplinador/p'
'Valentino Donna Eau de Parfum Valentino', 'Valentino Donna Eau de Parfum Valentino - Perfume Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/valentino-donna-eau-de-parfum-valentino-perfume-feminino/p'
'M Perfect Cover BB Cream Missha', 'M Perfect Cover BB Cream Missha - Base Facial - Época Cosméticos', 'http://www.epocacosmeticos.com.br/m-perfect-cover-bb-cream-missha-base-facial/p'
'True Hue Violet Conditioner Senscience', 'True Hue Violet Conditioner Senscience - Condicionador para Cabelos Coloridos - Época Cosméticos', 'http://www.epocacosmeticos.com.br/true-hue-violet-conditioner-senscience-condicionador-para-cabelos-coloridos/p'
'Mademoiselle Eau de Toilette Azzaro', 'Mademoiselle Eau de Toilette Azzaro - Perfume Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/mademoiselle-eau-de-toilette-azzaro-perfume-feminino/p'
'Perfume Poison Girl Eau de Parfum Dior Feminino', 'Perfume Poison Girl Eau de Parfum Dior Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/poison-girl-eau-de-parfum-dior-perfume-feminino/p'
'Hair Growth Treatment Lee Stafford', 'Hair Growth Treatment Lee Stafford - Tratamento para Crescimento de Cabelos - Época Cosméticos', 'http://www.epocacosmeticos.com.br/hair-growth-treatment-lee-stafford-mascara-hidratante-para-os-cabelos/p'
'Chubby In The Nude Foundation Stick Clinique', 'Chubby In The Nude Foundation Stick Clinique - Base - Época Cosméticos', 'http://www.epocacosmeticos.com.br/chubby-in-the-nude-foundation-stick-clinique-base/p'
'Place Vendome Eau de Parfum Boucheron', 'Place Vendome Eau de Parfum Boucheron - Perfume Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/place-vendome-eau-de-parfum-boucheron-perfume-feminino/p'
'A*men Eau de Toilette Mugler', 'A*men Eau de Toilette Mugler - Kit Perfume Masculino 100ml + Gel de Banho 50ml + Desodorante 75g - Época Cosméticos', 'http://www.epocacosmeticos.com.br/a-men-eau-de-toilette-thierry-mugler-kit-perfume-masculino-100ml-gel-de-banho-50ml-desodorante-75g/p'
